id,sum_mid,latitude,longitude,site_name
10001,150000000.0,-12.56861111111111,128.33416666666668,Petrel field area: Cretaceous reservoirs
10002,420000000.0,-12.5475,128.3361111111111,Petrel field area: Jurassic reservoirs
10003,9160000000.0,-13.2275,129.74277777777775,Eastern Petrel Sub-basin: Cretaceous reservoirs
10004,6060000000.0,-13.2,129.74277777777775,Eastern Petrel Sub-basin: Jurassic reservoirs
10005,19100000000.0,-40.11888888888889,145.64888888888888,Bass
10006,55300000000.0,-14.147777777777778,128.54194444444445,Bonaparte Basin
10007,11200000000.0,-15.307777777777778,120.35027777777778,Browse Basin
10008,37700000000.0,-18.33833333333333,131.02,Canning Offshore
10009,48500000000.0,-20.451944444444443,113.06527777777778,Carnarvon North
10010,22800000000.0,-24.91444444444444,112.43611111111112,Carnarvon South
10011,100000000.0,-14.5,122.66666666666669,Caswell Fan
10012,51000000000.0,-38.68194444444444,148.3125,Gippsland
10013,2900000000.0,-30.17388888888889,114.06777777777778,North Perth Onshore
10014,13400000000.0,-18.272777777777776,120.03222222222222,NW Shelf Oil & Gas Fields
10015,2200000000.0,-35.28194444444444,149.12861111111113,Oil & Gas Fields (Excluding NW Shelf)
10016,14500000000.0,-38.72416666666667,142.70666666666665,Otway East
10017,11000000000.0,-37.23388888888889,140.01916666666668,Otway West
10018,345000000.0,-38.82416666666667,147.56055555555557,"Southernmost Deep Central, Southern Terrace and Southern Platform"
10019,2200000000.0,-38.65361111111111,144.26527777777778,Torquay
10020,3300000000.0,-28.148888888888887,149.8038888888889,Bowen
10021,33300000000.0,-19.354444444444447,123.19916666666668,Canning Onshore
10022,5500000000.0,-29.50861111111111,153.08194444444445,Clarence Moreton
10023,7900000000.0,-28.015833333333333,140.45555555555555,Cooper
10024,7200000000.0,-32.388333333333335,143.06444444444446,Darling
10025,3000000000.0,-24.066666666666663,148.06472222222223,Denison Trough
10026,26800000000.0,-26.494722222222222,142.52305555555557,Eromanga
10027,14000000000.0,-25.28666666666667,145.94555555555556,Galilee
10028,120000000.0,-20.808055555555555,115.40222222222222,Gorgon
10029,26400000000.0,-30.737222222222226,115.64694444444446,North Perth Offshore
10030,938000000.0,-35.28194444444444,149.16194444444446,Oil & Gas Fields
10031,150000.0,-38.52944444444445,142.76722222222224,Otway Research Facility
10032,10300000000.0,-27.22583333333333,149.38111111111112,Surat
10033,52000000.0,-26.71,142.38694444444442,Challum Field
10034,164000000.0,-38.29944444444444,147.49777777777777,Site 1 (Golden Beach)
10035,22500000.0,-29.30333333333333,114.94333333333334,Dongara Terrace
10036,29900000.0,-29.234166666666667,114.9888888888889,Yardarino
10037,291100000.0,-26.35027777777778,149.53861111111112,"All Queensland Gas fields (Apart from: silver springs, Brumby and Challum)."
10038,13400000.0,-26.35027777777778,149.53861111111112,All Queensland oil fields.
10039,150000000.0,-26.35027777777778,149.53861111111112,Bowen - Southern (Showgrounds Sandstone)
10040,89000000.0,-26.35027777777778,149.53861111111112,Bowen - Southern (Tinowon Formation)
10041,100000000.0,-26.35027777777778,149.53861111111112,Bowen - Western (Aldebaran Sandstone)
10042,4300000.0,-26.71,142.38694444444442,Brumby gas field 
10043,172000000.0,-26.71,142.38694444444442,Cooper (Toolachee Formation)
10044,6474000000.0,-23.66111111111111,142.37833333333333,Eromanga (Adori Sandstone)
10045,5473000000.0,-23.66111111111111,142.37833333333333,Eromanga (Hooray Sandstone)
10046,12226000000.0,-23.66111111111111,142.37833333333333,Eromanga (Hutton Sandstone)
10047,2081000000.0,-23.66111111111111,142.37833333333333,Eromanga (Lower Poolowanna Sandstone)
10048,20159000000.0,-23.66111111111111,142.37833333333333,Eromanga (Wyandra Sandstone)
10049,594000000.0,-25.36555555555556,145.26833333333337,Galilee - North (Betts Creek beds)
10050,534000000.0,-25.36555555555556,145.26833333333337,Galilee - North (Clematis Sandstone/ Rewan Fm)
10051,982000000.0,-25.36555555555556,145.26833333333337,Galilee - South (Clematis Sandstone/ Rewan Fm)
10052,1320000000.0,-25.36555555555556,145.26833333333337,Galilee - South (Colinlea Sandstone)
10053,75000000.0,-26.502222222222223,149.69416666666666,Sector-1 (Precipice)
10054,41000000.0,-26.502222222222223,149.69416666666666,Sector-1 (Showgrounds)
10055,74950000.0,-26.500833333333333,149.7133333333333,Sector-2 (Precipice)
10056,75000000.0,-26.57805555555555,149.76972222222224,Sector-3 (Precipice)
10057,13500000.0,-26.35027777777778,149.53861111111112,Silver Springs-Renlim gas field 
10058,21000000.0,-26.35027777777778,149.53861111111112,Surat (Basal Evergreen Unit)
10059,454000000.0,-26.35027777777778,149.53861111111112,Surat (Boxvale Unit)
10060,1198000000.0,-26.35027777777778,149.53861111111112,Surat (Hutton Sandstone)
10061,1078300000.0,-26.35027777777778,149.53861111111112,Surat (Precipice Sandstone)
10062,1200000000.0,-38.46083333333333,141.1363888888889,Otway (Sequence)
10063,66000000.0,-38.44055555555556,147.26166666666666,Site 2 (Halibut)
10064,98000000.0,-38.1625,147.61166666666665,Site 3 (Halibut)
10065,28850000.0,-29.24527777777778,114.9325,Dongara
10066,24000000.0,-33.02972222222222,115.8461111111111,SW Hub 
10067,137100000.0,-29.81138888888889,115.26666666666668,Woodada
10068,91400000.0,-29.85,114.99,Coolimba & Coomallo
10069,28500000.0,-29.31,115.11833333333333,Mondarra
